timestamp,supply_air_temp_c,return_air_temp_c,fan_speed_pct,remote_avg_temp_c,unit,source
2026-01-19T05:40:01.418728+02:00,18,35.2,70,21.7,C,vertiv_modbus
2026-01-19T05:50:01.655366+02:00,18.1,35.2,70,21.8,C,vertiv_modbus
2026-01-19T06:00:01.480419+02:00,18.1,35.3,70,21.8,C,vertiv_modbus
2026-01-19T06:10:01.355536+02:00,18.1,35.3,70,21.8,C,vertiv_modbus
2026-01-19T06:20:02.085508+02:00,18,35.4,70,21.8,C,vertiv_modbus
2026-01-19T06:30:01.836125+02:00,18,35.2,70,21.7,C,vertiv_modbus
2026-01-19T06:40:01.366242+02:00,17.9,35.2,70,21.7,C,vertiv_modbus
2026-01-19T06:50:02.152821+02:00,17.8,35.2,70,21.7,C,vertiv_modbus
2026-01-19T07:00:01.909848+02:00,18.1,35.4,70,21.9,C,vertiv_modbus
2026-01-19T07:10:01.440652+02:00,18,35.2,70,21.7,C,vertiv_modbus
2026-01-19T07:20:01.790806+02:00,17.8,35.2,70,21.7,C,vertiv_modbus
2026-01-19T07:30:01.425557+02:00,17.8,35.3,70,21.7,C,vertiv_modbus
2026-01-19T07:40:02.330640+02:00,18,35.4,70,21.8,C,vertiv_modbus
2026-01-19T07:50:02.000292+02:00,18.1,35.4,70,21.9,C,vertiv_modbus
2026-01-19T08:00:01.459494+02:00,18.3,35.5,70,21.9,C,vertiv_modbus
2026-01-19T08:10:01.697158+02:00,18.6,35.4,70,21.9,C,vertiv_modbus
2026-01-19T08:20:02.202519+02:00,17.7,35.3,70,21.7,C,vertiv_modbus
2026-01-19T08:30:01.758929+02:00,18.1,35.4,70,21.9,C,vertiv_modbus
2026-01-19T08:40:02.223195+02:00,18.3,35.5,70,21.9,C,vertiv_modbus
2026-01-19T08:50:01.772946+02:00,17.7,35.4,70,21.7,C,vertiv_modbus
2026-01-19T09:00:02.261833+02:00,18,35.4,70,21.9,C,vertiv_modbus
2026-01-19T09:10:01.737374+02:00,18.1,35.5,70,21.9,C,vertiv_modbus
2026-01-19T09:20:02.324026+02:00,18.1,35.4,70,21.7,C,vertiv_modbus
2026-01-19T09:30:01.822489+02:00,17.9,35.4,70,21.8,C,vertiv_modbus
2026-01-19T09:40:01.477046+02:00,18.4,35.6,70,21.9,C,vertiv_modbus
2026-01-19T09:43:57.557812+02:00,18.3,35.5,70,22,C,vertiv_modbus
2026-01-19T09:50:01.651822+02:00,17.6,35.4,70,21.7,C,vertiv_modbus
2026-01-19T10:00:02.225597+02:00,17.8,35.3,70,21.8,C,vertiv_modbus
2026-01-19T10:10:01.799831+02:00,17.5,35.6,70,21.7,C,vertiv_modbus
2026-01-19T10:20:01.381958+02:00,18.1,35.6,70,21.9,C,vertiv_modbus
2026-01-19T10:30:01.915865+02:00,18.4,35.7,70,21.9,C,vertiv_modbus
2026-01-19T10:39:14.224269+02:00,17.7,35.5,70,21.8,C,vertiv_modbus
2026-01-19T10:40:01.877909+02:00,17.7,35.6,70,21.8,C,vertiv_modbus
2026-01-19T10:50:01.702931+02:00,17.5,35.8,70,21.8,C,vertiv_modbus
2026-01-19T11:00:02.293651+02:00,17.7,35.6,70,21.9,C,vertiv_modbus
2026-01-19T11:10:01.681074+02:00,18.1,35.8,70,21.8,C,vertiv_modbus
2026-01-19T11:20:02.099785+02:00,17.8,35.5,70,21.8,C,vertiv_modbus
2026-01-19T11:30:01.661729+02:00,17.8,35.8,70,21.8,C,vertiv_modbus
2026-01-19T11:40:02.311878+02:00,18,35.6,70,21.9,C,vertiv_modbus
2026-01-19T11:50:01.869343+02:00,17.7,35.4,70,21.8,C,vertiv_modbus
2026-01-19T12:00:02.221705+02:00,18.2,35.5,70,21.9,C,vertiv_modbus
2026-01-19T12:10:02.348385+02:00,18.4,35.5,70,22,C,vertiv_modbus
2026-01-19T12:20:01.956157+02:00,17.7,35.3,70,21.8,C,vertiv_modbus
2026-01-19T12:30:01.527999+02:00,17.7,35.6,70,21.8,C,vertiv_modbus
2026-01-19T12:40:02.258253+02:00,18.2,35.6,70,22,C,vertiv_modbus
2026-01-19T12:50:01.833337+02:00,18.6,35.6,70,22,C,vertiv_modbus
2026-01-19T13:00:01.641002+02:00,17.9,35.5,70,21.9,C,vertiv_modbus
2026-01-19T13:10:02.258150+02:00,17.8,35.5,70,21.8,C,vertiv_modbus
2026-01-19T13:20:01.947470+02:00,17.8,35.7,70,21.9,C,vertiv_modbus
2026-01-19T13:30:01.903572+02:00,18.7,35.7,70,22.1,C,vertiv_modbus
2026-01-19T13:40:02.049318+02:00,18.6,35.8,70,22.2,C,vertiv_modbus
2026-01-19T13:50:01.801605+02:00,18.3,35.6,70,22,C,vertiv_modbus
2026-01-19T14:00:01.395365+02:00,18.8,35.8,70,22.2,C,vertiv_modbus
2026-01-19T14:06:07.447798+02:00,18,35.6,70,22,C,vertiv_modbus
2026-01-19T14:10:02.225920+02:00,18.2,35.5,70,21.9,C,vertiv_modbus
2026-01-19T14:20:01.811310+02:00,18.2,35.5,70,21.9,C,vertiv_modbus
2026-01-19T14:30:02.183309+02:00,17.9,35.5,70,21.9,C,vertiv_modbus
2026-01-19T14:40:01.421933+02:00,17.6,35.4,70,21.7,C,vertiv_modbus
